代码	名称(50)	涨幅%	涨停数	主力净额	现价	涨跌	涨速%	量比	总金额	涨跌数	跌停数	3日涨幅%	开盘金额	换手%	换手Z	量涨速%	短换手%	2分钟金额	主力净比%	开盘换手Z	连涨天	昨涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	强弱度%	总量	市盈率	市净率	振幅%	昨收	今开	最高	最低	均价	开盘%	回头波%	攻击波%	现均差%	流通市值	AB股总市值	流通股本Z	
880535	稀土永磁	-1.55	0	-134100.22	771.35	-12.13	-0.04	  0.94	2024966.14	10|62	0	-1.00	20382.10	          1.56	          2.46	          0.96	          0.22	23797.96	  -0.15	          0.02	-1	1.43	0.11	-0.52	-7.61	5.50	29.01	-3.86	7.63	 -1.58	17343752	    33.56	          2.25	2.03	783.48	783.91	784.61	768.69	771.35	0.05	-1.69	0.35	0.00	       9160.17亿	      10037.65亿	  704.43亿	
880904	机器人概念	-1.66	4	-800097.28	3826.04	-64.46	0.00	  1.08	26168626.38	146|735	3	0.07	252148.22	          2.35	          3.90	          0.87	          0.41	280346.62	  -0.08	          0.02	-1	2.44	2.77	4.19	-9.56	4.70	45.96	-6.20	8.93	 -1.69	165306608	    33.73	          2.45	2.10	3890.50	3883.24	3890.59	3808.80	3826.04	-0.19	-1.66	0.45	0.00	     105700.09亿	     122284.91亿	 4234.21亿	
880952	芯片	-1.66	4	-861369.96	1771.17	-29.90	0.00	  1.02	20692194.10	95|579	1	-0.91	193742.86	          2.27	          3.42	          0.94	          0.49	238197.15	  -0.08	          0.02	-1	0.96	0.77	4.20	-6.13	0.86	42.03	-4.64	1.79	 -1.69	113200824	    45.43	          2.92	1.96	1801.07	1797.67	1797.69	1762.40	1771.17	-0.19	-1.48	0.50	0.00	     101758.39亿	     119260.73亿	 3306.34亿	
880765	海洋经济	-1.85	1	-91078.78	886.38	-16.69	-0.02	  1.08	1740621.41	8|50	0	-1.86	13797.20	          2.74	          5.09	          0.83	          0.23	17571.64	  -0.13	          0.02	-1	1.37	1.59	1.20	-15.27	-11.36	-11.36	-4.40	-11.36	 -1.88	21919164	    32.55	          1.47	2.15	903.07	900.57	900.57	881.12	886.38	-0.28	-1.58	0.60	0.00	       7190.58亿	       7752.99亿	  430.98亿	
880948	人工智能	-1.94	2	-856800.87	1451.60	-28.70	0.00	  0.99	22245780.68	115|678	5	-1.28	194762.15	          2.38	          3.68	          0.95	          0.38	258791.83	  -0.09	          0.02	-1	1.00	1.04	2.67	-8.29	4.82	44.74	-5.92	4.84	 -1.97	164029008	    59.12	          2.83	2.15	1480.30	1477.26	1477.48	1445.61	1451.60	-0.21	-1.75	0.41	0.00	      94750.55亿	     109100.21亿	 4457.18亿	
880978	DeepSeek概念	-1.96	2	-868153.96	1332.90	-26.61	-0.01	  0.99	19088567.50	93|525	1	-1.58	156093.18	          1.78	          3.30	          0.96	          0.28	224152.78	  -0.09	          0.02	-1	0.79	0.76	1.57	-7.59	33.29	33.29	-6.02	33.29	 -1.99	143146288	    31.21	          1.76	2.15	1359.51	1357.30	1357.32	1328.11	1332.90	-0.16	-1.80	0.36	0.00	      99211.91亿	     114355.41亿	 4339.40亿	
880609	跨境支付CIPS	-2.05	2	-279195.65	1447.14	-30.24	-0.01	  1.26	5946957.82	19|42	0	2.15	112594.85	          0.49	          2.27	          0.99	          0.07	72042.09	  -0.03	          0.01	-1	0.86	5.47	6.13	0.01	9.69	57.75	1.64	5.81	 -2.08	51288380	     7.10	          0.43	2.40	1477.38	1475.90	1478.29	1442.77	1447.14	-0.10	-2.11	0.30	0.00	      80853.03亿	      81839.20亿	 2256.62亿	
880799	数据中心	-2.08	1	-945829.68	1305.50	-27.67	0.00	  0.99	14430765.06	51|394	4	-1.36	132064.56	          1.75	          3.16	          0.93	          0.30	164400.33	  -0.14	          0.02	-1	1.42	1.46	2.58	-9.85	4.96	45.02	-7.52	3.90	 -2.10	99136776	    31.05	          1.59	2.16	1333.17	1330.03	1330.03	1301.23	1305.50	-0.24	-1.84	0.33	0.00	      67462.76亿	      74083.63亿	 3132.55亿	
880789	昨成交20	-2.32	0	-311484.83	424.29	-10.07	0.08	  0.89	6517634.66	4|16	0	-4.75	94232.91	          3.70	          5.70	          1.11	          1.28	88331.47	  -0.10	          0.03	-3	-1.08	-4.03	-4.74	-17.36	-26.43	-36.69	-13.04	-30.30	 -2.35	26237860	    23.37	          3.75	2.17	434.36	431.19	432.63	423.20	424.29	-0.73	-1.93	0.26	0.00	      30298.70亿	      34640.98亿	  460.19亿	
880921	阿里概念	-2.39	1	-622683.34	1397.36	-34.22	-0.01	  0.91	9093050.37	27|233	3	-2.14	72463.60	          2.45	          3.89	          1.07	          0.49	119208.35	  -0.17	          0.02	-1	0.78	0.31	1.85	-8.56	5.05	45.60	-7.02	4.08	 -2.42	61272384	    48.50	          2.73	2.45	1431.58	1427.29	1427.56	1392.54	1397.36	-0.30	-2.12	0.35	0.00	      35777.25亿	      39679.45亿	 1573.58亿	
880669	算力租赁	-2.62	1	-558831.51	1065.09	-28.65	-0.01	  0.99	6559259.44	18|140	3	-2.58	42881.11	          1.94	          3.93	          1.04	          0.36	83528.91	  -0.18	          0.01	-1	1.26	0.36	0.73	-10.47	10.38	48.40	-8.74	6.45	 -2.65	45566252	    67.79	          2.72	2.69	1093.74	1090.13	1090.89	1061.47	1065.09	-0.33	-2.37	0.34	0.00	      30273.92亿	      32267.77亿	 1160.00亿	
880732	AI智能体	-2.66	0	-541353.57	1048.63	-28.67	-0.01	  0.95	7885894.45	17|192	0	-2.32	62630.17	          3.30	          4.69	          0.92	          0.54	88965.94	  -0.21	          0.02	-1	0.92	0.62	1.60	-9.13	4.86	4.86	-7.58	4.86	 -2.69	55177768	    72.00	          2.96	2.72	1077.30	1074.50	1074.75	1045.40	1048.63	-0.26	-2.43	0.31	0.00	      25558.30亿	      28891.17亿	 1176.60亿	
880689	华为算力	-2.82	0	-226557.18	1134.14	-32.91	-0.02	  1.00	3290532.25	5|81	0	-1.83	30106.00	          3.09	          4.14	          0.90	          0.60	36314.32	  -0.22	          0.03	-1	1.42	1.08	0.64	-11.04	6.94	41.04	-9.49	3.05	 -2.85	18965212	   252.70	          3.15	3.20	1167.05	1167.67	1167.67	1130.33	1134.14	0.05	-2.87	0.34	0.00	      10308.45亿	      11608.26亿	  458.00亿	
880529	次新股	-3.20	1	-89847.14	941.40	-31.17	0.00	  0.90	1758411.78	9|90	0	-2.62	17514.00	         11.87	         11.67	          1.20	          6.66	25309.80	  -0.62	          0.12	-1	1.23	-1.89	1.04	-8.73	-6.09	-21.43	-6.02	-7.92	 -3.23	4677170	    42.05	          5.12	3.34	972.57	967.51	967.71	935.27	941.05	-0.52	-2.72	0.66	0.04	       1451.66亿	       8240.98亿	   40.07亿	
880885	近端次新	-3.92	0	-33644.22	470.58	-19.18	-0.01	  0.89	580081.00	1|25	0	-3.78	4605.88	         17.59	         16.57	          1.35	         10.87	9439.85	  -1.07	          0.15	-2	-0.48	-2.69	2.34	-8.34	9.09	3.94	-5.76	9.01	 -3.94	1577094	    38.25	          5.44	3.40	489.76	486.06	486.31	469.65	470.58	-0.76	-3.23	0.20	0.00	        314.28亿	       1918.23亿	    9.52亿	
#数据来源:通达信
