代码	名称(55)	涨幅%	封单额	涨速%	总金额	振幅%	换手%	现价	涨跌	买价	卖价	总量	现量	今开	最高	最低	昨收	市盈(动)	量比	细分行业	地区	均价	内盘	外盘	内外比	买量	卖量	未匹配量	委比%	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	昨成交额	开盘金额	开盘抢筹%	开盘昨比%	开盘换手Z	封成比	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	连涨天	昨涨幅%	
512690	酒ETF	1.47	--  	0.16	84115.50	3.09	          7.09	0.623	0.009	0.622	0.623	13505353	19031	0.612	0.630	0.611	0.614	--  	  0.97	中证酒	鹏华基金	0.623	5819713	7685640	  0.76	63115	4185	--  	2.29	          0.83	          0.07	539.92	8142.39	   0.69	63364.70	--  	0.00	--  	--  	--  	--  	--  	        118.60亿	  1.70	   4415	1	-0.65	
512500	中证500ETF华夏	-0.93	--  	0.06	36090.20	2.13	          2.30	3.203	-0.030	3.201	3.203	1121900	151	3.220	3.248	3.179	3.233	--  	  0.71	中证500	华夏基金	3.217	635367	486533	  1.31	1113	5945	--  	-12.17	          0.14	          0.00	56.71	-815.64	  -0.05	49031.45	--  	0.00	--  	--  	--  	--  	--  	        155.92亿	 -0.69	   1888	-1	0.91	
512480	半导体ETF	-4.36	--  	0.00	269006.77	4.26	         10.46	0.943	-0.043	0.942	0.943	28021664	23512	0.978	0.983	0.941	0.986	--  	  1.19	半导体	国联安基金	0.960	12403249	15618414	  0.79	45384	12206	--  	68.78	          1.15	          0.15	2618.44	-79115.57	  -3.13	282346.37	--  	0.00	--  	--  	--  	--  	--  	        252.60亿	 -4.12	   4792	-1	2.39	
512200	房地产ETF	-0.36	--  	0.00	53130.13	4.12	          8.73	1.646	-0.006	1.645	1.647	3206377	10425	1.655	1.692	1.624	1.652	--  	  0.99	房地产	南方基金	1.657	1675167	1531210	  1.09	8891	677	--  	28.55	          0.91	          0.10	515.60	6304.42	   1.04	79973.79	--  	0.00	--  	--  	--  	--  	--  	         60.44亿	 -0.13	   3453	-1	3.44	
512170	医疗ETF	-1.47	--  	-0.29	72581.25	2.05	          2.85	0.336	-0.005	0.336	0.337	21406678	15957	0.339	0.343	0.336	0.341	--  	  0.87	中证医疗	华宝兴业基金	0.339	10942125	10464553	  1.05	145137	345691	--  	-22.13	          4.72	          0.16	3530.32	-5929.88	  -0.23	58564.07	--  	0.00	--  	--  	--  	--  	--  	        252.77亿	 -1.23	   3904	-4	-0.58	
512100	中证1000ETF	-2.90	--  	0.00	326028.06	3.26	          5.50	2.411	-0.072	2.411	2.412	13378782	21	2.470	2.485	2.404	2.483	--  	  1.06	中证1000	南方基金	2.437	7072537	6306245	  1.12	2987	649	--  	55.11	          0.54	          0.04	1506.51	17644.67	   0.30	253849.75	--  	0.00	--  	--  	--  	--  	--  	        586.24亿	 -2.66	   4241	-1	1.47	
512000	券商ETF	-1.08	--  	0.00	122138.88	3.23	          5.24	1.102	-0.012	1.102	1.103	10944777	649	1.110	1.135	1.099	1.114	--  	  1.13	证券公司	华宝兴业基金	1.116	5368681	5576096	  0.96	1007	34537	--  	13.05	          0.89	          0.06	951.49	-5249.53	  -0.23	189389.34	--  	0.00	--  	--  	--  	--  	--  	        230.14亿	 -0.84	   4356	-1	2.86	
510310	沪深300ETF易方达	0.21	--  	0.03	322033.95	1.42	          1.28	3.820	0.008	3.819	3.820	8406182	3	3.811	3.856	3.802	3.812	--  	  1.23	沪深300	易方达基金	3.831	4932455	3473727	  1.42	104	165	--  	30.50	          0.59	          0.01	2049.10	4682.37	   0.02	541624.06	--  	0.00	--  	--  	--  	--  	--  	       2500.24亿	  0.45	   3713	1	-0.05	
510300	沪深300ETF	0.20	--  	0.03	725947.14	1.44	          1.91	3.979	0.008	3.979	3.980	18177560	1	3.964	4.018	3.961	3.971	--  	  1.08	沪深300	华泰柏瑞基金	3.994	8999521	9178039	  0.98	867	31905	--  	38.60	          0.90	          0.02	6100.84	50104.63	   0.13	700483.94	--  	0.00	--  	--  	--  	--  	--  	       3790.51亿	  0.44	   4784	1	0.00	
510210	上证指数ETF	0.13	--  	0.13	53837.47	1.38	          5.70	0.798	0.001	0.797	0.798	6733608	303	0.794	0.805	0.794	0.797	--  	  1.02	上证指数	富国基金	0.800	3539048	3194560	  1.11	37218	30959	--  	10.26	          0.87	          0.06	416.79	10248.49	   1.09	39977.72	--  	0.00	--  	--  	--  	--  	--  	         94.22亿	  0.36	   3701	2	0.13	
880698	宽基ETF	-1.13	--  	0.00	6031376.79	1.31	--  	1194.94	-13.62	--  	--  	404777728	--  	1205.31	1209.42	1193.57	1208.56	--  	  0.89			1194.94	--  	--  	--  	--  	--  	--  	0.00	          0.73	          0.00	40829.34	-124017.87	--  	7138889.73	21749.61	-0.03	0.30	--  	--  	--  	--  	--  	 -0.89	   4809	-1	0.50	
880676	活跃ETF	-1.13	--  	0.00	11274811.80	1.35	--  	1027.36	-11.76	--  	--  	1059002048	--  	1035.33	1040.17	1026.13	1039.12	--  	  1.30			1027.36	--  	--  	--  	--  	--  	--  	0.00	          0.75	          0.00	79425.54	-367704.47	--  	11738071.86	64424.65	0.00	0.55	--  	--  	--  	--  	--  	 -0.89	   4807	-1	0.23	
159995	芯片ETF	-3.63	--  	0.00	105986.31	3.54	          3.71	1.143	-0.043	1.143	1.144	9112231	92935	1.180	1.184	1.142	1.186	--  	  0.78	国证芯片	华夏基金	1.163	4237642	4874589	  0.87	14099	6866	--  	55.34	          0.82	          0.04	1062.25	-25305.29	  -0.90	192584.40	--  	0.00	--  	--  	--  	--  	--  	        280.61亿	 -2.34	   4525	-1	2.15	
159949	创业板50ETF	-1.76	--  	0.00	166253.35	2.28	          5.79	0.948	-0.017	0.948	0.949	17371926	184255	0.957	0.968	0.946	0.965	--  	  0.69	创业板50	华安基金	0.957	8774027	8597899	  1.02	24623	21470	--  	56.25	          0.85	          0.06	1746.74	545.32	   0.02	242859.44	--  	0.00	--  	--  	--  	--  	--  	        284.55亿	 -0.48	   4539	-1	0.73	
159928	消费ETF	0.85	--  	0.00	37250.71	2.31	          3.08	0.830	0.007	0.829	0.830	4484630	25952	0.821	0.837	0.818	0.823	--  	  0.86	中证消费	汇添富基金	0.831	1966815	2517815	  0.78	15502	6396	--  	33.58	          0.46	          0.02	215.40	1388.71	   0.11	27248.48	--  	0.00	--  	--  	--  	--  	--  	        121.04亿	  2.13	   3467	1	-0.24	
159919	沪深300ETF	0.10	--  	-0.01	133256.31	1.52	          0.85	4.079	0.004	4.079	4.080	3254145	10175	4.058	4.120	4.058	4.075	--  	  0.80	沪深300	嘉实基金	4.095	1634071	1620074	  1.01	6029	7015	--  	23.60	          0.25	          0.00	415.04	7329.10	   0.05	184241.05	--  	0.00	--  	--  	--  	--  	--  	       1570.47亿	  1.38	   3901	2	0.15	
