代码	名称	涨幅%	封单额	涨速%	总金额	量比	换手%	振幅%	现价	买价	卖价	涨跌	总量	现量	今开	最高	最低	昨收	市盈(动)	细分行业	地区	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	笔均量	笔换手	连涨天	昨涨幅%	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	年涨停天	换手Z	流通市值Z	流通比例Z%	市盈(TTM)	
111000	起帆转债	1.19	--  	0.13	5075.84	  2.86	          4.50	2.05	113.21	113.08	113.19	1.33	44959	10	112.90	114.29	112.00	111.88	--  	深证		112.90	13281	31678	  0.42	4	13	--  	--  	--  	--  	          0.10	         11.32亿	--  	 -1.22	   1629	     28	        0.0028	1	-0.58	1.08	-5.29	-20.71	-21.11	0	--  	--  	--  	--  	
113604	多伦转债	1.18	--  	-0.01	495.69	  0.46	          0.76	1.25	102.75	102.75	102.76	1.20	4841	3	101.91	102.88	101.61	101.55	--  	深证		102.39	2465	2376	  1.04	2	15	--  	--  	--  	--  	          0.06	          6.57亿	--  	 -1.22	    918	      5	        0.0008	2	0.52	1.50	-2.01	-6.74	-5.07	0	--  	--  	--  	--  	
127047	帝欧转债	1.17	--  	0.00	3771.25	  2.85	          2.39	1.15	105.321	105.321	105.337	1.221	35869	50	104.518	105.717	104.518	104.100	--  	上证		105.140	17643	18227	  0.97	60	4	--  	--  	--  	--  	          0.15	         15.80亿	--  	 -2.52	    979	     37	        0.0024	1	-0.36	0.62	-6.05	-19.39	-22.01	0	--  	--  	--  	--  	
128036	金农转债	1.15	--  	-0.13	9847.90	  0.62	         51.31	2.04	131.500	131.500	131.509	1.501	74731	1204	131.450	133.150	130.500	129.999	--  	上证		131.778	37540	37191	  1.01	188	18	--  	--  	--  	--  	          0.01	          1.92亿	--  	 -2.54	   2452	     30	        0.0209	1	-0.08	2.73	-8.95	1.95	6.52	0	--  	--  	--  	--  	
123065	宝莱转债	1.13	--  	0.10	4197.73	  0.18	         17.14	1.31	112.259	112.200	112.259	1.259	37509	424	111.201	112.650	111.200	111.000	--  	上证		111.913	17966	19544	  0.92	18	82	--  	--  	--  	--  	          0.02	          2.46亿	--  	 -2.56	   1468	     26	        0.0117	2	1.51	1.59	-0.10	-2.49	-3.23	0	--  	--  	--  	--  	
123076	强力转债	1.13	--  	-0.14	760.71	  1.27	          0.87	1.34	103.125	103.124	103.125	1.156	7382	65	102.275	103.643	102.275	101.969	--  	上证		103.050	4421	2961	  1.49	16	43	--  	--  	--  	--  	          0.08	          8.76亿	--  	 -2.56	    519	     14	        0.0017	1	-0.51	0.66	-0.85	-7.52	-6.50	0	--  	--  	--  	--  	
113024	核建转债	1.13	--  	-0.01	3702.26	  0.21	          1.07	2.23	115.33	115.30	115.42	1.29	32133	5	114.10	116.57	114.03	114.04	--  	深证		115.22	17846	14287	  1.25	677	2	--  	--  	--  	--  	          0.30	         34.55亿	--  	 -1.27	   2082	     15	        0.0005	3	1.13	4.52	0.91	-7.31	-12.02	0	--  	--  	--  	--  	
113563	柳药转债	1.13	--  	-0.15	2690.07	  1.53	          3.18	1.36	105.84	105.75	105.79	1.18	25522	6	105.00	106.21	104.79	104.66	--  	深证		105.40	16013	9509	  1.68	1	1	--  	--  	--  	--  	          0.08	          8.49亿	--  	 -1.28	   1638	     16	        0.0019	1	-0.43	0.90	-4.77	-5.57	-9.17	0	--  	--  	--  	--  	
127015	希望转债	1.13	--  	0.00	1112.25	  0.75	          1.04	2.78	112.835	112.835	113.196	1.256	9856	39	111.579	114.610	111.510	111.579	--  	上证		112.850	5511	4345	  1.27	36	10	--  	--  	--  	--  	          0.09	         10.72亿	--  	 -2.57	    609	     16	        0.0017	1	0.00	2.59	-3.85	-10.55	-5.07	0	--  	--  	--  	--  	
113033	利群转债	1.12	--  	-0.02	6812.74	  0.79	          3.42	1.78	111.30	111.21	111.30	1.23	61521	1	110.28	111.86	109.90	110.07	--  	深证		110.74	27947	33574	  0.83	2	4	--  	--  	--  	--  	          0.18	         20.03亿	--  	 -1.29	   2373	     26	        0.0014	1	-0.15	1.42	2.65	-3.49	0.27	0	--  	--  	--  	--  	
128026	众兴转债	1.12	--  	0.05	1017.81	  0.91	          2.36	1.22	105.959	105.950	105.959	1.169	9643	35	105.000	106.174	104.891	104.790	--  	上证		105.549	4432	5211	  0.85	6	49	--  	--  	--  	--  	          0.04	          4.33亿	--  	 -2.58	    692	     14	        0.0034	2	0.23	0.92	-1.67	-5.31	-4.78	0	--  	--  	--  	--  	
128117	道恩转债	1.10	--  	0.05	248.13	  0.58	          0.64	1.18	108.080	108.030	108.080	1.180	2300	14	107.274	108.159	106.902	106.900	--  	上证		107.884	1054	1247	  0.85	15	16	--  	--  	--  	--  	          0.04	          3.89亿	--  	 -2.59	    288	      8	        0.0022	2	0.04	0.82	-0.57	-3.30	-2.68	0	--  	--  	--  	--  	
123096	思创转债	1.08	--  	0.00	1108.02	  2.15	          1.27	2.09	106.800	106.800	106.892	1.146	10387	114	105.649	107.854	105.649	105.654	--  	上证		106.674	4087	6301	  0.65	245	25	--  	--  	--  	--  	          0.08	          8.72亿	--  	 -2.61	    685	     15	        0.0019	2	0.05	0.99	-1.48	-9.07	-13.71	0	--  	--  	--  	--  	
123082	北陆转债	1.08	--  	0.01	1609.27	  1.25	          2.97	1.29	108.600	108.590	108.600	1.160	14828	1066	107.600	108.984	107.600	107.440	--  	上证		108.529	4891	9938	  0.49	23	2589	--  	--  	--  	--  	          0.05	          5.42亿	--  	 -2.61	    705	     21	        0.0042	1	-0.52	0.55	-7.83	-8.88	-15.41	0	--  	--  	--  	--  	
